#Name	Mass	R	v	a
alpha	1	7.05496	-0.0211892	-1.08014e-05
alpha	1	7.03372	-0.0212975	-1.08668e-05
alpha	1	7.01237	-0.0214065	-1.0933e-05
alpha	1	6.99092	-0.0215162	-1.10002e-05
alpha	1	6.96935	-0.0216265	-1.10684e-05
alpha	1	6.94767	-0.0217375	-1.11376e-05
alpha	1	6.92588	-0.0218493	-1.12078e-05
alpha	1	6.90398	-0.0219617	-1.1279e-05
alpha	1	6.88197	-0.0220749	-1.13513e-05
alpha	1	6.85984	-0.0221887	-1.14246e-05
alpha	1	6.8376	-0.0223033	-1.14991e-05
alpha	1	6.81525	-0.0224187	-1.15746e-05
alpha	1	6.79278	-0.0225348	-1.16513e-05
alpha	1	6.77019	-0.0226517	-1.17292e-05
alpha	1	6.74748	-0.0227694	-1.18083e-05
alpha	1	6.72466	-0.0228879	-1.18886e-05
alpha	1	6.70172	-0.0230072	-1.19701e-05
alpha	1	6.67866	-0.0231273	-1.20529e-05
alpha	1	6.65547	-0.0232483	-1.2137e-05
alpha	1	6.63217	-0.0233701	-1.22225e-05
alpha	1	6.60874	-0.0234927	-1.23093e-05
alpha	1	6.5852	-0.0236163	-1.23975e-05
alpha	1	6.56152	-0.0237407	-1.24871e-05
alpha	1	6.53772	-0.023866	-1.25782e-05
alpha	1	6.5138	-0.0239922	-1.26707e-05
alpha	1	6.48975	-0.0241194	-1.27648e-05
alpha	1	6.46557	-0.0242475	-1.28605e-05
alpha	1	6.44127	-0.0243766	-1.29577e-05
alpha	1	6.41683	-0.0245067	-1.30566e-05
alpha	1	6.39227	-0.0246378	-1.31571e-05
alpha	1	6.36757	-0.0247699	-1.32594e-05
alpha	1	6.34274	-0.024903	-1.33634e-05
alpha	1	6.31777	-0.0250371	-1.34692e-05
alpha	1	6.29267	-0.0251724	-1.35769e-05
alpha	1	6.26744	-0.0253087	-1.36864e-05
alpha	1	6.24207	-0.0254461	-1.37979e-05
alpha	1	6.21656	-0.0255846	-1.39114e-05
alpha	1	6.19091	-0.0257243	-1.40269e-05
alpha	1	6.16512	-0.0258652	-1.41445e-05
alpha	1	6.13919	-0.0260072	-1.42642e-05
alpha	1	6.11312	-0.0261505	-1.43861e-05
alpha	1	6.08691	-0.026295	-1.45103e-05
alpha	1	6.06054	-0.0264407	-1.46368e-05
alpha	1	6.03404	-0.0265877	-1.47657e-05
alpha	1	6.00738	-0.026736	-1.4897e-05
alpha	1	5.98058	-0.0268856	-1.50309e-05
alpha	1	5.95362	-0.0270366	-1.51673e-05
alpha	1	5.92652	-0.027189	-1.53063e-05
alpha	1	5.89926	-0.0273428	-1.54481e-05
alpha	1	5.87185	-0.027498	-1.55927e-05
alpha	1	5.84428	-0.0276546	-1.57401e-05
alpha	1	5.81655	-0.0278128	-1.58906e-05
alpha	1	5.78866	-0.0279725	-1.6044e-05
